The Core Computer Business (Pty) Ltd,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,,,,
Apple Reseller Program Price List,,,,
,,,,
,,,,
Effective from 18 June 2025,,,,
,,,,
Items in Red are on Promotion: Ends 30th June 2025 or While Stocks Last,,,,
,,,,
Due to the volatility of the Rand/US Dollar exchange rate please note that the prices published by Core Group may change without notice.,,,,
Should you wish to include these prices in customer quotations please note that the Core Group may not be able to honour the published prices.,,,,
EO&E,,,,
"The reseller is responsible for determining its own prices for the resale of products. Although Core may suggest retail prices, these are suggestions only and the reseller is entirely free to determine the actual prices at which products will be sold.",,,,
,ARP_P1,,,
,,,,
,ARP_P1,,"Wholesale
(ZAR Excl VAT)","RRP 
(ZAR Incl VAT)"
1 - CPU,,,,
DISPLAYS,,,,
MYJF3SO/A,APPLE STUDIO DISPLAY - STANDARD GLASS - TILT- AND HEIGHT-ADJUSTABLE STAND,ACTIVE,50128,63699
MYJG3SO/A,APPLE STUDIO DISPLAY - STANDARD GLASS - TILT-ADJUSTABLE STAND,ACTIVE,40133,50999
MYJH3SO/A,APPLE STUDIO DISPLAY - STANDARD GLASS - VESA MOUNT ADAPTER (STAND NOT INCLUDED),ACTIVE,40133,50999
MYJJ3SO/A,APPLE STUDIO DISPLAY - NANO-TEXTURE GLASS - TILT- AND HEIGHT-ADJUSTABLE STAND,ACTIVE,57722,73349
MYJK3SO/A,APPLE STUDIO DISPLAY - NANO-TEXTURE GLASS - TILT-ADJUSTABLE STAND,ACTIVE,47610,60499
MYJL3SO/A,APPLE STUDIO DISPLAY - NANO-TEXTURE GLASS - VESA MOUNT ADAPTER (STAND NOT INCLUDED),ACTIVE,47610,60499
MYLH3SO/A,PRO DISPLAY XDR - STANDARD GLASS,ACTIVE,125518,159499
MYLJ3SO/A,PRO DISPLAY XDR - NANO-TEXTURE GLASS,ACTIVE,150622,191399
IMAC 24,,,,
MCR24SO/A,"24-INCH IMAC WITH RETINA 4.5K DISPLAY: APPLE M4 CHIP WITH 10‑CORE CPU AND 10‑CORE GPU, 24GB, 512GB SSD - SILVER",ACTIVE,38560,48999
MD2Q4SO/A,"24-INCH IMAC WITH RETINA 4.5K DISPLAY: APPLE M4 CHIP WITH 10‑CORE CPU AND 10‑CORE GPU, 24GB, 512GB SSD - GREEN",ACTIVE,38560,48999
MD2T4SO/A,"24-INCH IMAC WITH RETINA 4.5K DISPLAY: APPLE M4 CHIP WITH 10‑CORE CPU AND 10‑CORE GPU, 24GB, 512GB SSD - BLUE",ACTIVE,38560,48999
MD2U4SO/A,"24-INCH IMAC WITH RETINA 4.5K DISPLAY: APPLE M4 CHIP WITH 10‑CORE CPU AND 10‑CORE GPU, 24GB, 512GB SSD - PINK",ACTIVE,38560,48999
MD3H4SO/A,"24-INCH IMAC WITH RETINA 4.5K DISPLAY, NANO-TEXTURE GLASS: APPLE M4 CHIP WITH 10‑CORE CPU AND 10‑CORE GPU, 256GB SSD, 16GB - SILVER",ACTIVE,34625,43999
